#序号	通用名	剂型	单位	规格	售价	供应商名称	生产日期	库存数量
298	高歌强化果味C金银花糖片	片剂	盒	16s	5	广西博科药业	12/3/25	16
299	护肝宁片	片剂	瓶	50s	19	广西昌弘制药	12/3/29	12
300	玉叶清火片	片剂	盒	36s	4.2	广西纯正堂制药厂	12/3/25	10
301	川贝清肺糖浆	口服液	瓶	120ml	12	广西芳菲药业	12/3/26	12
302	苦瓜甙颗粒(无糖)	颗粒剂	盒	6g*8s	9.9	广西桂林	12/3/31	18
303	妇血康颗粒	颗粒剂	盒	3g*12袋	18.5	广西桂西制药	12/3/22	9
304	小柴胡颗粒	颗粒剂	盒	10g*10s	5.8	广西鸿博药业	12/3/16	15
305	益母草颗粒	颗粒剂	盒	15*10袋	8	广西鸿博药业	12/3/25	7
306	维C银翘片	片剂	盒	24s	1.5	广西鸿博药业	12/3/31	14
307	痔炎消颗粒	颗粒剂	盒	10g*9s	25.75	广西济民制药厂出品	12/3/25	6
308	金嗓子喉片	片剂	盒	2g×20‘s	3.9	广西金嗓子	12/3/31	12
309	石杏痰咳片	片剂	盒	2.01g*48s	12	广西金页制药	12/3/24	12
310	妇科调经片	片剂	盒	48S	11.5	广西珏林制药	12/3/20	11
311	宫颈炎康栓	片剂	盒	7粒	20.8	广西康华药业	12/3/19	18
312	金鸡胶囊	胶囊剂	盒	0.35g×48‘s	14.2	广西灵峰药业	12/3/26	17
313	金鸡片	片剂	盒	48片	13.8	广西灵峰药业	12/3/22	13
314	益母草颗粒（金鸡）	颗粒剂	盒	15g*10袋	15	广西灵峰药业	12/3/29	8
315	喉舒宁片	片剂	盒	24s	5	广西南宁万士达制药	12/3/20	13
316	清火片	片剂	盒	48s	5.5	广西仁源药业	12/3/18	7
317	藏青果颗粒	颗粒剂	盒	15g*6袋	7.5	广西仁源药业	12/3/26	20
318	妇科止痒胶囊	口服液	盒	36S	23	广西神通药业	12/3/24	11
319	救必应胃痛片	片剂	盒	48s	26	广西圣特药业	12/3/27	14
320	复方感冒灵片	片剂	盒	30s	9	广西万山红药业	12/3/29	8
321	复方金钱草颗粒	颗粒剂	包	10g*10s	5	广西万通制药	12/3/17	18
322	复方百部止咳颗粒	颗粒剂	盒	10g*10S	5	广西梧州箭制药	12/3/26	10
323	花蛇解痒胶囊	胶囊剂	盒	0.35g*24s	17.5	广西梧州三鹤药业	12/3/18	5
324	五淋化石丸	丸剂	盒	60丸	24	广西梧州三鹤药业	12/3/19	8
325	妇炎净胶囊	胶囊剂	盒	24s	12.5	广西梧州制药集团	12/3/22	18
326	中华跌打丸	丸剂	盒	6G*6S	4	广西梧州制药集团	12/3/19	7
327	清火栀麦片	片剂	盒	24s	3.5	广西亿康药业	12/3/26	13
328	蛇胆川贝液	口服液	盒	10亳升*6支	1.5	广西玉兰制药	12/3/29	11
329	止血灵胶囊	胶囊剂	盒	20s	15	广西玉林制药	12/3/16	8
330	珍黄丸	丸剂	盒	12s	6.5	广西玉林制药	12/3/26	11
331	草香胃康胶囊	胶囊剂	盒	20s	15	广西玉林制药	12/3/20	9
332	湿毒清胶囊	胶囊剂	瓶	30‘s	9.8	广西玉林制药	12/3/20	16
333	鸡骨草胶囊	胶囊剂	瓶	48s	13.8	广西玉林制药	12/3/25	20
334	消石片	片剂	瓶	80s	11	广西玉林制药	12/3/30	17
335	补肾强身胶囊	胶囊剂	盒	0.3g*72s	35	广西正堂药业	12/3/23	19
336	复方穿心莲片	片剂	盒	36s	9.5	广西中天药业	12/3/22	16
337	花红片	片剂	盒	12‘s×4板	16.5	广西花红药业	12/3/30	15
338	纤姿2代OB蛋白瘦身素	胶囊剂	盒	250mg*12s*4板	138	广州奥特健生物科技	12/3/30	12
339	清开灵颗粒	颗粒剂	包	10g*10	8	广州白云山	12/3/18	7
340	氨咖黄敏胶囊	胶囊剂	盒	10s	3	广州白云山光华制药	12/3/25	5
341	莲芝消炎胶囊	胶囊剂	盒	12s	11	广州白云山光华制药	12/3/29	6
342	三磷酸腺苷二钠片	片剂	盒	12s	1.3	广州白云山光华制药	12/3/16	19
343	晕动片	片剂	盒	12s	2.8	广州白云山光华制药	12/3/21	9
344	健肝灵胶囊	胶囊剂	盒	60s	15.5	广州白云山光华制药	12/3/20	18
345	板蓝根颗粒	颗粒剂	包	10g*20	8.5	广州白云山中药	12/3/24	18
346	复方板兰根颗粒	颗粒剂	包	15G*20袋	10.5	广州白云山中药	12/3/23	19
347	复方陈香胃片(白云山)	片剂	盒	0.28g*48s	5.5	广州白云山中药	12/3/25	13
348	口炎清颗粒	颗粒剂	盒	10g*10	11.8	广州白云山中药	12/3/26	9
349	感冒通薄膜片	片剂	盒	24‘s	1	广州白云山明兴制药	12/3/16	12
350	甲硝唑芬布芬胶囊	胶囊剂	盒	10s	6	广州白云山天心制药	12/3/25	17
351	阿莫西林克拉维酸钾片	片剂	盒	6s	15	广州白云山制药	12/3/29	9
352	头孢克洛片	片剂	盒	0.25g*6s	12.8	广州白云山制药	12/3/25	17
353	独一味片	片剂	盒	0.28g*24s	17.5	广州白云山制药	12/3/30	17
354	莲芝消炎片	片剂	盒	24s	9.5	广州白云山	12/3/19	17
355	头孢克肟胶囊(世福素)	胶囊剂	盒	100mg*6s	0	广州白云山制药总厂	12/3/22	9
356	头孢丙烯分散片（银力舒）	片剂	盒	0.25mg*6片	25	广州白云山制药总厂	12/3/18	5
357	头孢克肟胶囊	胶囊剂	盒	50mg*6s	17	广州白云山制药总厂	12/3/31	9
358	世福素(头孢克肟颗粒)	颗粒剂	盒	6s	18.9	广州白云制药	12/3/23	15
359	清好清畅胶囊	胶囊剂	盒	7.2g*18S	28	广州佰健生物工程	12/3/19	6
360	眠乐	胶囊剂	盒	12s	19.8	广州滨海医药科技	12/3/17	13
361	喉疾灵胶囊	胶囊剂	袋	24s	9	广州陈李济药厂	12/3/29	8
362	益生菌咀嚼片	片剂	盒	0.8G*30片*2瓶	123	广州盒生元生物制品	12/3/19	17
363	盒生元	颗粒剂	盒	39g	156	广州盒生元生物制品	12/3/22	6
364	芦荟排毒养颜胶囊	胶囊剂	盒	350mg*S	16	广州恒达出品	12/3/30	6
365	祛痰止咳颗粒（有糖）	颗粒剂	盒	6g*20s	17.5	广州花城制药厂	12/3/28	8
366	养血生发胶囊	胶囊剂	盒	30	5.5	广州获敬修堂药业	12/3/28	18
367	膳食纤维	胶囊剂	瓶	800mg*120s	88	广州佳怡宝食品	12/3/20	16
368	天然果味维生素EC片	片剂	瓶	1.2g*90s	85	广州佳怡宝食品	12/3/19	7
369	天然维生素C	片剂	瓶	1500mg*60s	70	广州佳怡宝食品	12/3/23	20
370	铁锌钙咀嚼片	片剂	瓶	1g*90s	68	广州佳怡宝食品	12/3/21	8
371	褪黑素片剂(澳能)	片剂	瓶	400mg*60s	58	广州佳怡宝食品	12/3/24	10
372	牛初乳片	片剂	瓶	700mg*60s	99	广州佳怡宝食品	12/3/18	7
373	B胡萝卜素片剂	片剂	瓶	800mg*120s	78	广州佳怡宝食品	12/3/30	12
374	氨基酸钙片	片剂	瓶	800mg*120s	95	广州佳怡宝食品	12/3/21	19
375	多维D3钙	片剂	瓶	800mg*120s	68	广州佳怡宝食品	12/3/26	19
376	蜂花粉营养	片剂	瓶	800mg*120s	128	广州佳怡宝食品	12/3/17	10
377	清盈一号	胶囊剂	盒	48s	105	广州嘉盛生物科技	12/3/27	12
378	追风透骨丸	丸剂	瓶	36g	9.5	广州敬修堂药业	12/3/17	6
379	尿毒清颗粒	颗粒剂	盒	5g*15s	55	广州康臣药业	12/3/27	20
380	舒弗美(茶碱缓释片)	片剂	盒	0.1g*24s	5.8	广州迈特兴华制药厂	12/3/18	19
381	补达秀(氯化钾缓释片)	片剂	盒	0.5g*24s	5.8	广州迈特兴华制药	12/3/25	9
382	天然果瘦	胶囊剂	盒	30S	98	广州美盈生物科技	12/3/30	14
383	辛伐他汀他散片	片剂	盒	20mg*7s	19	广州南新制药	12/3/27	17
384	福康力(氟康唑胶囊)	胶囊剂	盒	50mg*6s	6.5	广州南新制药	12/3/19	11
385	湿毒清片	片剂	盒	48s	19.5	广州诺金制药	12/3/17	7
386	甲硝唑芬布芬胶囊（牙周康）	胶囊剂	盒	0.1g*10s	2.8	广州欧化药业	12/3/19	5
387	蛇胆川贝枇杷膏	口服液	瓶	138g*100ml	9.7	广州潘高寿药业	12/3/29	5
388	蜜炼川贝枇杷膏	口服液	瓶	138克*100ml	9.8	广州潘高寿药业	12/3/31	8
389	蛇胆川贝枇杷膏(潘高寿)	口服液	瓶	345g	23.5	广州潘高寿药业	12/3/28	20
390	虚汗停颗粒	颗粒剂	盒	10g×6包	10.5	广州奇星药业	12/3/30	12
391	健胃消食片	片剂	盒	0.8g*32s	4.5	广州仁义堂品	12/3/16	19
392	祛痰止咳颗粒	颗粒剂	盒	3g*12s	13.8	广州市花城制药厂	12/3/19	7
393	藿胆丸	丸剂	瓶	36g	5	广州市花城制药厂	12/3/19	14
394	新肤宝	软膏	支	15g	10	广州市九鑫生物科技	12/3/30	12
395	碳酸氢钠（小苏打粉）	丸剂	盒	500g	3	广州市南先化工	12/3/21	20
396	科豆	外用洗剂	盒	25ml	98	广州桃氏企业	12/3/21	13
397	王老吉冲服凉茶(颗粒)	颗粒剂	包	10g×20袋	14	广州王老吉药业	12/3/27	9
398	小儿七星茶冲剂	颗粒剂	盒	7g×12小包	9.7	广州王老吉药业	12/3/26	6
399	保济口服液	口服液	盒	10支*10ml	13.7	广州王老吉药业	12/3/16	11
400	王老吉润喉糖(纸盒)	片剂	盒	28g	5	广州王老吉药业	12/3/29	20
401	痰咳净片	片剂	盒	36s	9.5	广州王老吉药业	12/3/31	6
402	王老吉润喉糖	片剂	盒	56克	9	广州王老吉药业	12/3/20	9
403	清热暗疮片	片剂	瓶	90s	19.8	广州王老吉药业	12/3/23	15
404	保济丸	丸剂	盒	3.7g×20瓶	6	广州王老吉药业股耸	12/3/31	10
405	天然苦瓜瘦	片剂	罐	30s	128	广州宣姿生物技术	12/3/27	7
406	腹可安片	片剂	盒	24s	2.5	广州中一药业	12/3/31	11
407	前列通片	片剂	瓶	108s	11.5	广州中一药业	12/3/27	5
408	三七化痔丸	丸剂	瓶	30g	7.8	广州中一药业	12/3/30	18
409	乌蛇止痒丸	丸剂	瓶	30g	11.5	广州中一药业	12/3/19	12
410	辛夷鼻炎丸	丸剂	瓶	30G	7.8	广州中一药业	12/3/16	16
411	消渴丸	丸剂	瓶	30g×1	13	广州中一药业	12/3/23	18
412	妇科再造丸	丸剂	盒	120s	20	贵阳德昌祥药业	12/3/20	8
413	白沙糖浆	口服液	瓶	100ml	18	贵阳德昌祥药业	12/3/25	16
414	复方石韦胶囊	胶囊剂	盒	30s*0.35G	23	贵阳济仁堂药业	12/3/18	6
415	感冒止咳胶囊	胶囊剂	盒	24s	9.5	贵阳市新天药业	12/3/23	9
416	儿童回春颗粒	颗粒剂	盒	1g*6s	17	贵州安泰药业	12/3/22	9
417	泻停封胶囊	胶囊剂	盒	12S	5.8	贵州百灵企业集团	12/3/31	11
418	咳速停胶囊	胶囊剂	盒	12粒	6	贵州百灵企业集团	12/3/16	12
419	益母草膏	口服液	盒	150g	7	贵州百灵企业集团	12/3/29	11
420	咳立停糖浆	口服液	瓶	100ml	12.5	贵州百灵企业集团	12/3/21	6
421	咳速停糖浆	口服液	瓶	100ml	4.8	贵州百灵企业集团	12/3/26	17
422	感冒止咳糖浆	口服液	瓶	100ml	8.5	贵州拜特制药	12/3/20	17
423	四季草颗粒	颗粒剂	盒	2g*10s	13.5	贵州本草堂药业	12/3/29	5
424	抗妇炎胶囊	胶囊剂	盒	24粒	17	贵州程制药	12/3/24	19
425	毒敏克(五维甘草那敏)胶囊	胶囊剂	盒	0.45g*10s	13.5	贵州泛德制药	12/3/31	18
426	抗宫炎软胶囊	胶囊剂	盒	0.65g*30S	13.8	贵州光正制药	12/3/28	16
427	头孢羟氨苄颗粒	颗粒剂	盒	12s	8.3	贵州汉方制药	12/3/22	10
428	鳖甲消痔胶囊	胶囊剂	盒	24s	27	贵州汉方制药	12/3/23	19
429	泌淋清胶囊	胶囊剂	盒	0.4g*24s	18	贵州和仁堂药业	12/3/24	20
430	枇杷止咳胶囊	胶囊剂	盒	16s	8.5	贵州恒和制药	12/3/27	8
431	咽立爽滴丸	丸剂	盒	25mg×36丸	6	贵州黄果树立爽药业	12/3/17	11
432	醒脾养儿颗粒	颗粒剂	盒	12s	16.8	贵州健兴药业出品	12/3/22	17
433	肺力咳盒剂	口服液	瓶	100ml	16.5	贵州健兴药业出品	12/3/26	7
434	葆肤康软膏	软膏	盒	10g	15	贵州绿太阳制药	12/3/31	11
435	顽癣敌软膏	软膏	盒	10g	15	贵州绿太阳制药	12/3/27	16
436	马兰感寒胶囊	胶囊剂	盒	0.25g*24S	11.8	贵州民族药业	12/3/16	12
437	苗王神	胶囊剂	盒	0.25g12s	17	贵州民族药业	12/3/25	12
438	心胃止痛胶囊	胶囊剂	盒	0.25g24s	26	贵州民族药业	12/3/24	14
439	疏风散热胶囊(马兰)	胶囊剂	盒	24s	11.8	贵州民族药业	12/3/21	9
440	强力天麻杜仲胶囊	胶囊剂	盒	0.4克*12‘s	5	贵州三力制药	12/3/28	15
441	板蓝根软胶囊	胶囊剂	盒	24s	11.5	贵州三力制药	12/3/25	18
442	三七胶囊	胶囊剂	盒	24s	6.5	贵州三力制药	12/3/18	5
443	枇杷止咳颗粒	颗粒剂	盒	3g*9s	7	贵州神奇药业	12/3/26	13
444	强力枇杷露	口服液	瓶	120ml	6	贵州神奇制药	12/3/31	13
445	脑灵素胶囊	胶囊剂	盒	24s	15	贵州天安药业	12/3/22	17
446	盐酸二甲双胍肠溶片	片剂	瓶	0.25*48粒	7.5	贵州天安药业	12/3/28	12
447	杜仲平压片	片剂	瓶	0.3g*36s	15	贵州天安药业	12/3/26	15
448	仙灵骨葆胶囊@	胶囊剂	盒	0.5g×40粒	29.5	贵州同济堂制药	12/3/17	18
449	仙灵骨葆胶囊	胶囊剂	盒	40S	29.5	贵州同济堂制药	12/3/29	5
450	润燥止痒胶囊	胶囊剂	盒	0.5g*36s	28.5	贵州同济堂制	12/3/16	11
451	热淋清颗粒	颗粒剂	盒	8克*6包	24.8	贵州威门药业	12/3/22	7
452	六味安消胶囊	胶囊剂	盒	0.5g*36	13.5	贵州信邦制药	12/3/20	19
453	克咳胶囊	胶囊剂	盒	0.3g×12‘s	8.5	贵州益佰制药	12/3/28	15
454	天麻头风灵胶囊	胶囊剂	盒	0.2克*12粒	8.5	贵州益佰制药	12/3/26	12
455	小儿止咳糖浆（克刻）	口服液	瓶	90ml	6.5	贵州益佰制药	12/3/29	9
456	全天麻胶囊	胶囊剂	盒	12s	6	贵州益康制药	12/3/29	7
457	康妇灵胶囊	胶囊剂	盒	0.4g*24s	21	贵州长和仁堂药业	12/3/29	10
458	阿奇霉素分散片	片剂	盒	0.25g*6s	9.8	桂林集琦药业	12/3/27	7
459	氯雷分定伪麻黄碱缓释片	片剂	盒	6s	10.8	桂林集琦药业	12/3/18	9
460	金西瓜霜清凉糖	片剂	盒	24s	2.5	桂林金西瓜生物开发	12/3/20	13
461	交沙霉素片	片剂	盒	0.2g*12s	8.5	桂林南药	12/3/17	15
462	西瓜霜润喉片	片剂	盒	12s	2.7	桂林三金药业	12/3/23	11
463	西瓜霜清咽含片	片剂	盒	16s	3.5	桂林三金药业	12/3/21	10
464	三金片	片剂	盒	3.5g*72s	16.5	桂林三金药业股业	12/3/26	5
465	三蛇胆川贝糖浆	口服液	瓶	100ml	6.8	桂林益佰漓江制药	12/3/23	8
466	复方罗汉果止咳颗粒	颗粒剂	包	10g*10	3	桂林中族中药	12/3/20	17
467	桑菊感冒片	片剂	盒	32s	5	桂林中族中药	12/3/20	12
468	桂龙咳喘宁胶囊	胶囊剂	盒	60粒	15	桂龙药业(安徽)	12/3/30	18
469	慢严舒柠（糖片）	片剂	盒	24克/粒	6	桂龙药业(安徽)	12/3/31	15
470	慢严舒柠	颗粒剂	盒	6s	13.5	桂龙药业安徽	12/3/30	11
471	慢严舒柠含片	片剂	盒	24g	6	桂龙药业安徽	12/3/27	9
472	一致健儿清解液	口服液	盒	10ml×10支	10.8	国药控股深圳中药	12/3/31	18
473	活力护肝解酒片	片剂	盒	6s	12.9	哈尔滨鼎天实业	12/3/17	6
474	复方羊角片	片剂	盒	0.32g*30s	15	哈尔滨华瑞生化药业	12/3/17	18
475	木竭胶囊	胶囊剂	盒	0.4g*32s	39.5	哈尔滨华雨制药集团	12/3/23	11
476	葡萄糖酸钙口服溶液	口服液	盒	120ml*12s	14.2	哈尔滨集团三精	12/3/17	12
477	双黄连口服液	口服液	盒	10ml*10支	7.5	哈尔滨集团三精制药	12/3/23	17
478	柴连口服液	口服液	盒	10ml*6s	15	哈尔滨集团三精制药	12/3/23	20
479	头孢克肟干混悬剂	颗粒剂	盒	1g*6s	15	哈尔滨凯程制药	12/3/25	8
480	鼠要铋镁片乐得胃(次硝酸铋)	片剂	盒	120‘s	18	哈尔滨凯程制药	12/3/29	17
481	头孢克肟片	片剂	盒	6s	15	哈尔滨凯和制药	12/3/20	13
482	天麻头痛片	片剂	盒	0.33g*90s	15	哈尔滨仁皇药业	12/3/16	15
483	腰息痛胶囊	胶囊剂	盒	0.3g*24粒	15.8	哈尔滨天地药业	12/3/18	8
484	感特灵胶囊	胶囊剂	盒	24S	11.5	哈尔滨天地药业	12/3/19	11
485	胸腺肽肠溶片	片剂	盒	20mg*6s	16.5	哈高科白天鹅药业	12/3/16	6
486	大豆蛋白肽片	片剂	瓶	0.5g*240s	125	哈高科大豆食品	12/3/18	19
487	大豆膳食纤维片	片剂	瓶	0.6g*240s	133	哈高科大豆食品	12/3/16	10
488	牛黄消炎灵胶囊	胶囊剂	盒	24s	9.8	哈药三精黑河药业	12/3/31	14
489	三精司乐平(拉西地平片	片剂	盒	4mg×15‘s	19.7	哈药集团三精制	12/3/18	7
490	葡萄糖酸锌	口服液	瓶	120ml*12s	14.2	哈药集团三精制药	12/3/21	15
491	奥美拉唑肠溶胶囊	胶囊剂	盒	20mg*14s	6	哈药集团三精诺捷	12/3/22	17
492	护彤颗粒	颗粒剂	盒	0.2g*12‘S	6.5	哈药集团制药六厂	12/3/17	19
493	朴雪口服液	口服液	盒	10ml×10支	11	哈药集团制药六厂	12/3/24	11
494	儿童严迪片	片剂	盒	50mg×12‘s	7	哈药集团制药六厂	12/3/30	20
495	乳酸菌素片	片剂	盒	60s	6.5	哈药集团制药六厂	12/3/19	16
496	严迪	片剂	盒	75mg×12‘s	9.5	哈药集团制药六厂	12/3/25	14
497	钙加锌	口服液	盒	10ml*10s	14.5	哈药集团制药六厂	12/3/17	10
498	新盖中盖口服液	口服液	盒	10mL*10支	11	哈药集团制药六厂	12/3/17	9
499	复方铝酸铋片(胃必治)	片剂	盒	50s	8.3	哈药集团制药四厂	12/3/27	5
500	新盖中盖高钙片	片剂	瓶	36s	19.5	哈药集制药六厂	12/3/18	12
501	安胃片	片剂	盒	36s	12.5	哈药三精制药诺捷	12/3/17	20
502	庆大霉素普鲁卡因维B12颗粒	胶囊剂	盒	0.27g*20s	7.8	海口奇力制药	12/3/20	8
503	枫蓼肠胃康颗粒(常为康)	颗粒剂	盒	8g×6袋	9.8	海口市制药厂	12/3/20	15
504	枫蓼肠胃康片(薄膜衣片)	片剂	盒	0.24g*24s	6	海口制药厂	12/3/27	7
505	乐行晕车贴	片剂	盒	2s	9.8	海南宝元堂品	12/3/17	5
506	复方独活吲哚美辛胶囊	胶囊剂	盒	0.3g*12s	11	海南博大制药厂	12/3/31	14
507	复方谷氨酰胺颗粒	颗粒剂	袋	0.67g*15袋	8.5	海南海神同洲制药	12/3/28	14
508	螺内酯片	片剂	瓶	20mg*100s	9.8	海南海神同洲制药	12/3/28	7
509	替米沙坦片	片剂	盒	20mg*14s	6.3	海南赛立克药业	12/3/22	11
510	清开灵滴丸	丸剂	盒	20s*4袋	15.5	海南赛立克药业	12/3/18	11
511	强必林干糖浆(羟氨苄PG	颗粒剂	盒	125mg×12	6	海南三叶制药厂	12/3/16	7
512	头孢克洛颗粒	颗粒剂	盒	0.1g*6s	17	海南省金岛制药厂	12/3/17	7
513	庆大霉素普鲁卡因胶囊	胶囊剂	盒	12s	7.8	海南思迈药业	12/3/21	15
514	美羧伪麻胶囊	胶囊剂	盒	10s	12	海南通用三洋业	12/3/24	16
515	对乙酰氨基酚滴剂（万彤喜）	口服液	瓶	15ml	9	海南万州绿色制药	12/3/21	9
516	阿莫西林胶囊(再林)	胶囊剂	盒	0.25g*10s	11.5	海南先声药业	12/3/24	18
517	再林冲剂	颗粒剂	盒	125ml*18包	12.5	海南先声药业	12/3/16	16
518	再克(头孢克洛干混悬剂)	颗粒剂	盒	0.125g*6s	11.3	海南先声药业	12/3/24	8
519	复方锌布颗粒	颗粒剂	盒	12s	12.5	海南先声药业	12/3/18	5
520	快克胶囊	胶囊剂	盒	10‘s	7.2	海南亚洲制药	12/3/22	7
521	成人维生素	丸剂	盒	0.5g*120s	37	海南养生堂品	12/3/27	15
522	成长快乐钙片果味型	片剂	瓶	1.5g*80粒	35	海南养生堂品	12/3/22	9
523	成长快乐钙片含钙型	片剂	瓶	1.5g*80粒	35	海南养生堂品	12/3/22	15
524	美吡达(格列吡嗪片)	片剂	盒	5mg*30s	13.5	海南赞邦制药	12/3/26	20
525	葡萄糖酸锌片	片剂	瓶	70Mmg*100s	2.5	海南制药厂	12/3/31	20
526	乐行人晕车贴	片剂	盒	2S	8	海南制药厂制药一厂	12/3/20	10
527	感叹号(复方氨酚烷胺片)	片剂	盒	12s	4.5	海外制药	12/3/18	11
528	摩罗丹	丸剂	瓶	90g	15.5	邯郸制药	12/3/24	5
529	保灵孕宝	口服液	盒	12支*10ml	17.5	杭州澳医保灵药业	12/3/24	13
530	保灵孕妇钙	片剂	盒	1.7g*30S	21.5	杭州澳医保灵有药业	12/3/31	15
531	胃复春片	片剂	盒	60片	18.5	杭州胡庆余堂药业	12/3/25	12
532	糠甾醇片（牙周宁）	片剂	瓶	40mg*100s	1.8	杭州新五丰药业	12/3/26	6
533	抗病毒口服液	口服液	盒	10毫升*10支	6	杭州洁康药业	12/3/25	12
534	盐酸小檗碱片	片剂	瓶	0.1g*100s	3.4	杭州民生药业集团	12/3/21	15
535	消旋山莨菪碱片（6542）	片剂	瓶	5mg*100s	3.8	杭州民生药业集团	12/3/27	15
536	21金维他片	片剂	瓶	60‘s	17	杭州民生药业集团	12/3/26	12
537	孟鲁司特钠片（顺尔宁）	片剂	盒	10mg*5	43.5	杭州默沙东制药厂	12/3/27	18
538	孟鲁司特钠咀嚼片（顺尔宁）	片剂	盒	4mg*5	42.5	杭州默沙东制药厂	12/3/16	6
539	非那雄胺片（保列治）	片剂	盒	5mg*10	53	杭州默沙东制药	12/3/28	5
540	孟鲁司特钠咀嚼片	片剂	盒	5MG*5S	42.5	杭州默沙东制药	12/3/16	20
541	氯沙坦钾片(科素亚)	片剂	盒	50mg*7s	37	杭州默沙东制药	12/3/22	14
542	克痢痧胶囊	胶囊剂	盒	12s	8	杭州南洋制药	12/3/28	20
543	甲磺酸二氢麦角碱缓释胶囊	胶囊剂	盒	2.5mg*30s	59.5	杭州赛诺菲安万特 	12/3/20	8
544	地高辛片	片剂	盒	0。25mg*30s	3	杭州赛诺菲安万特 	12/3/18	15
545	儿童钙片	片剂	盒	1.4g*30s	36	杭州娃哈哈食品	12/3/18	13
546	儿童维生素片	片剂	盒	600mg*60s	45	杭州娃哈哈集团品	12/3/23	6
547	康必得片	片剂	盒	0.5g×12‘s	5.5	河北恒利集团制药	12/3/21	8
548	呋喃唑酮片	片剂	瓶	0.1g*100s	1.8	河北环海药业	12/3/30	7
549	小儿化痰止咳颗粒	颗粒剂	盒	0.5g*9s	6.8	河北冀衡集团	12/3/30	20
550	碳酸钙颗粒（纳诺卡）	颗粒剂	盒	0.25克*10袋	18.5	河北三九爱德福药业	12/3/18	11
551	碳酸钙咀嚼片	片剂	瓶	500mg*30s	23.5	河北三九爱德福药业	12/3/21	13
552	阳光100(习圣胶囊)	胶囊剂	套	0.43g*3s*4盒	47.4	河北阳光一佰食品	12/3/23	16
553	木香顺气丸	丸剂	盒	6g*10袋	3.5	河南百年康鑫药业	12/3/29	11
554	舒筋活血片	片剂	盒	48s	6.5	河南百年康鑫药业	12/3/30	19
555	消腩缩腰丸	丸剂	盒	400mg*24s	75	河南邦瑞特药业	12/3/18	16
556	清脂三天	胶囊剂	盒	400mg*24s	35	河南邦特药业国际	12/3/20	18
557	小儿清热宁颗粒	颗粒剂	盒	4g*10袋	10.8	河南辅仁堂制药厂	12/3/17	6
558	齿痛消炎颗粒	颗粒剂	盒	10g*4s	11.7	河南辅仁堂制药	12/3/28	15
559	参芪健胃颗粒	颗粒剂	盒	16g*8s	16.5	河南辅仁堂制药	12/3/27	11
560	昊克	片剂	盒	0.1g*8s	15	河南昊宁制药	12/3/20	18
561	解酒胶囊	胶囊剂	盒	0.3g*12s	13	河南华峰制药	12/3/26	12
562	四消丸	丸剂	盒	6g*10s	9.5	河南怀庆药业	12/3/25	19
563	复方冬凌草含片	片剂	盒	48s	6.5	河南济源济世药业	12/3/16	15
564	氯雷他定片(福莱西)	片剂	盒	10mg*6S	12	河南九势制药	12/3/22	17
565	鼻炎灵片	片剂	盒	0.3g*24s	15	河南龙都药业	12/3/28	10
566	小儿热速清糖浆	口服液	瓶	100ml	19.5	河南明康制药	12/3/21	7
567	枸橼酸喷托维林片	片剂	瓶	100s	1.5	河南省安阳第一	12/3/28	12
568	非那雄胺片（蓝乐）	片剂	盒	5mg*10	15	河南天方药业	12/3/26	5
569	氟罗沙星片	片剂	盒	0.1g*6s	9.8	河南天方药业	12/3/19	6
570	天麻素片	片剂	盒	25mg*24s	15	河南天方药业	12/3/24	14
571	月月舒(痛经宝)颗粒	颗粒剂	盒	10g×10袋	21.5	河南宛西制药	12/3/25	18
572	杞菊地黄丸(浓缩丸)	丸剂	盒	200‘s	9.6	河南宛西制药	12/3/17	19
573	归脾丸	丸剂	盒	200粒	6.6	河南宛西制药	12/3/18	14
574	明目地黄丸	丸剂	盒	200粒	10.5	河南宛西制药	12/3/26	5
575	香砂六君丸	丸剂	盒	200粒	6.2	河南宛西制药	12/3/18	18
576	知柏地黄小丸	丸剂	盒	200粒	10	河南宛西制药	12/3/29	18
577	补中益气丸	丸剂	盒	200粒	6.4	河南宛西制药	12/3/23	9
578	香砂养胃丸	丸剂	瓶	200‘S	8.5	河南宛西制药	12/3/22	13
579	保和丸	丸剂	瓶	200s	5.8	河南宛西制药	12/3/21	5
580	天王补心丸	丸剂	瓶	200粒	7.3	河南宛西制药	12/3/19	14
581	左归丸	丸剂	瓶	45g	10	河南宛西制药	12/3/23	11
582	妈富隆（短效避孕药）	片剂	盒	22s	17	荷兰欧加农	12/3/17	14
583	温胃舒颗粒	颗粒剂	盒	10g×6袋	11.8	盒肥神鹿双鹤药业	12/3/16	7
584	养胃舒颗粒	颗粒剂	盒	10g×6袋	12.5	盒肥神鹿双鹤药业	12/3/25	19
585	妙姿	胶囊剂	盒	60s	90	黑龙江百年 	12/3/27	10
586	俏姿美	胶囊剂	盒	60s	65	黑龙江百年 	12/3/18	15
587	欣姿	胶囊剂	盒	60s	128	黑龙江百年 	12/3/25	13
588	酒宝	胶囊剂	盒	12s	18	黑龙江百年 	12/3/29	15
589	丹参保心茶	颗粒剂	盒	2.5G*20袋	39	黑龙江北奇神药业	12/3/24	11
590	头孢氨苄甲氧苄胶囊	胶囊剂	盒	0.15g*12S	9.5	黑龙江多多药业	12/3/22	14
